Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Core & Main,2021-07-22,$20.00,CNM,IPO,"Goldman Sachs, Credit Suisse, JP Morgan Credit Suisse"
Gambling.com Group,2021-07-22,$8.00,GAMB,IPO,"Jeffries, Stifel, Truist Securities Truist Securities"
Sophia Genetics,2021-07-22,$18.00,SOPH,IPO,"JP Morgan, Morgan Stanley, Cowen and Company, Credit Suisse Credit Suisse"
AbSci Corp,2021-07-21,$16.00,ABSI,IPO,"JP Morgan, Credit Suisse, BofA Merrill Lynch, Cowen and Company, Stifel Credit Suisse"
Paycor HCM,2021-07-20,$23.00,PYCR,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
Blend Labs,2021-07-15,$18.00,BLND,IPO,"Goldman Sachs, Allen & Company LLC, Wells Fargo Truist Securities"
Stevanato Group,2021-07-15,$21.00,STVN,IPO,"Morgan Stanley, BofA Merrill Lynch, Jeffries KeyBanc Capital Markets"
Phillips Edison & Company,2021-07-14,$28.00,PECO,IPO,"Morgan Stanley, BofA Merrill Lynch, JP Morgan, BMO Capital Markets, Goldman Sachs, KeyBanc Capital Markets, Mizuho Securities, Wells Fargo KeyBanc Capital Markets"
EverCommerce Inc,2021-06-30,$17.00,EVCM,IPO,"Goldman Sachs, JP Morgan, RBC Capital Markets, KKR KKR"
Krispy Kreme,2021-06-30,$17.00,DNUT,IPO,"JP Morgan, Morgan Stanley, Citigroup, BofA Merrill Lynch Truist Securities"
Aerovate Therapeutics,2021-06-29,$14.00,AVTE,IPO,"Jeffries, Cowen and Company, Evercore ISI Jeffries"
Intapp,2021-06-29,$26.00,INTA,IPO,"JP Morgan, BofA Merrill Lynch, Credit Suisse Credit Suisse"
LegalZoom,2021-06-29,$28.00,LZ,IPO,"JP Morgan, Morgan Stanley, Barclays Credit Suisse"
Confluent,2021-06-23,$36.00,CFLT,IPO,"Morgan Stanley, JP Morgan, Goldman Sachs, Citigroup, BofA Merrill Lynch, Credit Suisse, Barclays, Deutsche Bank, UBS, Wells Fargo Credit Suisse"
Codex DNA,2021-06-17,$16.00,DNAY,IPO,"Jeffries, Cowen and Company, KeyBanc Capital Markets KeyBanc Capital Markets"
Nouveau Monde Graphite,2021-06-17,$7.50,NMG,ADD-ON,"Evercore ISI, BMO Capital Markets Evercore ISI"
WalkMe,2021-06-15,$31.00,WKME,IPO,"Morgan Stanley, Goldman Sachs, Citigroup Morgan Stanley"
Livent Corporation,2021-06-10,$17.50,LTHM,ADD-ON,"Goldman Sachs, JP Morgan Credit Suisse"
Genius Sports Limited,2021-06-09,$19.00,GENI,ADD-ON,Goldman Sachs Credit Suisse
PLBY Group,2021-06-09,$46.00,PLBY,ADD-ON,"Canaccord Genuity, Stifel Canaccord Genuity"
Zeta Global Holdings,2021-06-09,$10.00,ZETA,IPO,"Morgan Stanley, BofA Merrill Lynch, Credit Suisse, Barclays Credit Suisse"
Zhangmen Education,2021-06-08,$11.50,ZME,IPO,"Morgan Stanley, Credit Suisse Credit Suisse"
ZIM Integrated Shipping Services,2021-06-03,$40.00,ZIM,ADD-ON,"Citigroup, Goldman Sachs, Barclays Citigroup"
The AZEK Company,2021-05-26,$43.50,AZEK,ADD-ON,"Barclays, BofA Merrill Lynch, Goldman Sachs, Jeffries Credit Suisse"
FIGS,2021-05-26,$22.00,FIGS,IPO,"Goldman Sachs, Morgan Stanley Credit Suisse"
PETCO HEALTH AND WELLNESS,2021-05-26,$24.00,WOOF,ADD-ON,"Goldman Sachs, BofA Merrill Lynch Credit Suisse"
SOC Telemed,2021-05-26,$6.00,TLMD,ADD-ON,"Credit Suisse, William Blair, Guggenheim Securities Credit Suisse"
Oatly Group,2021-05-19,$17.00,OTLY,IPO,"Morgan Stanley, JP Morgan, Credit Suisse Credit Suisse"
Vera Therapeutics,2021-05-13,$11.00,VERA,IPO,"Jeffries, Cowen and Company, Evercore ISI Jeffries"
Academy Sports and Outdoors,2021-05-05,$32.00,ASO,ADD-ON,"Credit Suisse, JP Morgan, KKR, BofA Merrill Lynch KKR"
DMC Global,2021-05-04,$45.00,BOOM,ADD-ON,KeyBanc Capital Markets KeyBanc Capital Markets
